epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.844,1.34615,1.93953,1.86313,0.50476,0.67055,0.53723,0.214,2.03303,2.34966,3.07203,0.0670568,0.00033276,0.00033276
2,483.233,1.29046,1.77436,1.81068,0.74673,0.63846,0.71691,0.53215,1.22867,1.5583,2.1234,0.0340502,0.000659499,0.000659499
3,720.845,1.2285,1.61413,1.75854,0.57897,0.73615,0.76447,0.4982,1.31384,1.44813,2.2603,0.00103701,0.000979638,0.000979638
4,957.779,1.16222,1.53284,1.70323,0.75426,0.76683,0.78699,0.54871,1.29448,1.16253,2.3131,0.0009703,0.0009703,0.0009703
5,1195.55,1.12483,1.43988,1.66987,0.92524,0.78698,0.83614,0.56264,1.26988,0.91787,2.2522,0.0009604,0.0009604,0.0009604
6,1433.12,1.09911,1.37715,1.65086,0.9152,0.81695,0.8648,0.65329,1.03126,0.86585,1.85594,0.0009505,0.0009505,0.0009505
7,1670.28,1.08182,1.34077,1.63516,0.85882,0.79911,0.8482,0.64071,1.08165,0.88856,1.92829,0.0009406,0.0009406,0.0009406
8,1906.88,1.05495,1.29712,1.6116,0.89452,0.82485,0.86275,0.64734,1.0165,0.81485,1.82879,0.0009307,0.0009307,0.0009307
9,2143.93,1.03524,1.25672,1.59242,0.80474,0.82857,0.86946,0.67371,0.97795,0.89171,1.8063,0.0009208,0.0009208,0.0009208
10,2381.25,1.00961,1.22541,1.56904,0.91387,0.81787,0.8826,0.68952,0.90252,0.76232,1.6852,0.0009109,0.0009109,0.0009109
11,2618.35,1.0111,1.18756,1.56992,0.84408,0.8321,0.87784,0.66554,0.98749,0.84638,1.81534,0.000901,0.000901,0.000901
